Code,Object,Showcase,Caption,Current_Status,Link,Existing_Object,Notes,Acquisition_Institution_Responsible,Acquisition_People_Responsible,Acquisition_Technique,Acquisition_Equipment,Acquisition_License,Processing_Institution_Responsible,Processing_People_Responsible,Processing_Equipment,Processing_Timing_Start_Date_(MM-DD),Processing_Timing_End_Date_(MM-DD),Processing_License,Modeling_Institution_Responsible,Modeling_People_Responsible,Modeling_Equipment,Modeling_Timing_Start_Date_(MM-DD),Modeling_Timing_End_Date_(MM-DD),Modeling_License,Optimization_Institution_Responsible,Optimization_People_Responsible,Optimization_Equipment,Optimization_Timing_Start_Date_(MM-DD),Optimization_Timing_End_Date_(MM-DD),Optimization_License,Export_Institution_Responsible,Export_People_Responsible,Export_Equipment,Export_Timing_Start_Date_(MM-DD),Export_Timing_End_Date_(MM-DD),Export_License,Metadata_Institution_Responsible,Metadata_People_Responsible,Metadata_Equipment,Metadata_Timing_Start_Date_(MM-DD),Metadata_Timing_End_Date_(MM-DD),Metadata_License,Upload_to_ATON_Institution_Responsible,Upload_to_ATON_People_Responsible,Upload_to_ATON_Equipment,Upload_to_ATON_Timing_Start_Date_(MM-DD),Upload_to_ATON_Timing_End_Date_(MM-DD),Upload_License,Acquisition_Timing_End_Date_(MM-DD),Acquisition_Timing_Start_Date_(MM-DD),Room
391,goblet,,Blue porcelain pot with medallion and golden flower motifs.,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,basket,,"Porcelain from China; A small dom-shaped basket cut to size, with a porcelain chain detached by fracture; old manufacture.",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348_2,ewer,,"small pitcher, white with flowers in relief",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377_1,applique figurine,,small Chinese vase with blue background and gold decoration ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377_2,applique figurine,,small Chinese vase with blue background and gold decoration ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,figurine,,Porcelain figurine. Seated bald-bearded man (monk) wearing a yellow kimono with blue and red motifs. He holds a bowl in his left hand.,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,tea storage bottle,,"Chinese porcelain;  tin bottle for tea, oblong cylindrical shape, celadon base, coloured enamel decoration: birds perched on a flower-laden shrub.",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,footed bowl with handles,,"Chinese porcelain; Other bowl in the form of a cylindrical basin, high feet; square handles: underglaze blue rampage decoration. Ancient manufacture.",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,vase,,Chinese porcelain; thin porcelain vase. Representation of figures in an interior scene.,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10169_259,vase with narrow neck,,"Chinese porcelain neck vase, turquoise-blue glaze, gilded decoration on neck and shoulder (Greek frieze motif). ",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
